benchmark,pairwise_rank,method,pairwise_score,pooled_auc,pooled_rank,rank_change,separated_from_leader,leader,n_targets,n_eligible,n_entered
Disorder-NOX,29,AUCpred-no-profile,0.771440,0.780907,37,8,True,DisorderNet-pbias,178,60,120
Disorder-NOX,30,SPOT-Disorder-Single,0.770934,0.803165,24,-6,True,DisorderNet-pbias,178,60,120
Disorder-NOX,31,Metapredict-v1,0.769036,0.795408,28,-3,True,DisorderNet-pbias,178,60,120
Disorder-NOX,32,AIUPred-2-disorder,0.768169,0.824878,13,-19,True,DisorderNet-pbias,178,60,120
Disorder-NOX,33,AlphaFold3-binding,0.767836,0.820469,17,-16,True,DisorderNet-pbias,178,60,120
Disorder-NOX,34,IsUnstruct,0.765925,0.788219,30,-4,True,DisorderNet-pbias,178,60,120
Disorder-NOX,35,pyHCA,0.755334,0.798692,26,-9,True,DisorderNet-pbias,178,60,120
Disorder-NOX,36,ESpritz-X,0.753380,0.778775,38,2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,37,MobiDB-lite,0.753023,0.787515,32,-5,True,DisorderNet-pbias,178,60,120
Disorder-NOX,38,ESpritz-N,0.748035,0.776861,41,3,True,DisorderNet-pbias,178,60,120
Disorder-NOX,39,DisoMine,0.729601,0.777423,40,1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,40,ESpritz-D,0.726950,0.813385,21,-19,True,DisorderNet-pbias,178,60,120
Disorder-NOX,41,DeepDISObind-all,0.725035,0.787952,31,-10,True,DisorderNet-pbias,178,60,120
Disorder-NOX,42,DeepDISObind-protein,0.713227,0.782361,36,-6,True,DisorderNet-pbias,178,60,120
Disorder-NOX,43,DisoRDPbind-prot,0.712355,0.768134,43,0,True,DisorderNet-pbias,178,60,120
Disorder-NOX,44,DisEMBL-dis465,0.712270,0.709885,48,4,True,DisorderNet-pbias,178,60,120
Disorder-NOX,45,LINKER-Pred-Lite,0.703937,0.699647,49,4,True,DisorderNet-pbias,178,60,120
Disorder-NOX,46,LINKER-Pred2,0.685721,0.739425,45,-1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,47,DisEMBL-disHL,0.684008,0.657462,50,3,True,DisorderNet-pbias,178,60,120
Disorder-NOX,48,LINKER-Pred,0.683797,0.729724,46,-2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,49,AIUPred-2-binding,0.675092,0.766515,44,-5,True,DisorderNet-pbias,178,60,120
Disorder-NOX,50,DeepDISObind-nucleic,0.656500,0.722154,47,-3,True,DisorderNet-pbias,178,60,120
Disorder-NOX,51,ProBiPred-nucleic,0.532232,0.543724,52,1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,52,LIPNet,0.530177,0.510422,53,1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,53,DisoRDPbind-dna,0.523684,0.550869,51,-2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,54,DFLpred,0.480492,0.366952,57,3,True,DisorderNet-pbias,178,60,120
Disorder-NOX,55,DisoRDPbind-rna,0.404086,0.368784,56,1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,56,bindEmbed21IDR-idrNuc,0.360250,0.373842,54,-2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,57,bindEmbed21IDR-rawNuc,0.355458,0.372383,55,-2,True,DisorderNet-pbias,178,60,120
Disorder-NOX,58,ProBiPred-protein,0.342231,0.317434,59,1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,59,bindEmbed21IDR-idrGeneral,0.324644,0.321020,58,-1,True,DisorderNet-pbias,178,60,120
Disorder-NOX,60,bindEmbed21IDR-rawGeneral,0.308337,0.311509,60,0,True,DisorderNet-pbias,178,60,120
Binding,1,DisorderNet-Ensemble,0.758124,0.746920,16,15,False,DisorderNet-Ensemble,49,72,120
Binding,2,AlphaFold-binding,0.748133,0.771497,6,4,False,DisorderNet-Ensemble,49,72,120
Binding,3,DisorderNet-windowed,0.741619,0.792378,2,-1,False,DisorderNet-Ensemble,49,72,120
