benchmark,run,side,pooled_all_targets,pooled_two_class_targets,within_pairweighted,within_unweighted,between,w_within,n_paired_targets,wins,mean_per_target_delta,ci_lo,ci_hi,p_wilcoxon,p_holm_adjusted
Binding,multitask_control,control,0.724668683956269,0.811554832442632,0.8040101672329125,0.734103521290855,0.8117524020077539,0.02551841566002786,49,23,-0.002462751398079057,-0.03851926640750158,0.036671092671778226,0.5084463626233848,1.0
Binding-IDR,multitask_motif,variant,0.5281117739182459,0.6888030028048177,0.7145518768331792,0.673715154772436,0.6880363582736497,0.02891305065170764,42,27,0.06837851184157072,-0.0014343485738934059,0.14147644463995987,0.06568087584173554,0.7881705101008265
Binding-IDR,multitask_control,control,0.5422368860968871,0.6407654677445966,0.6702103377044316,0.6053366429308653,0.6398887789813988,0.02891305065170764,42,27,0.06837851184157072,-0.0014343485738934059,0.14147644463995987,0.06568087584173554,0.7881705101008265
Binding-IDR,multitask_wass,variant,0.5113680691196396,0.6943454050486718,0.7120267972289748,0.6889278947962456,0.6938189609562608,0.02891305065170764,42,26,0.08359125186538036,0.02838206975411164,0.1437547905633218,0.02669347806386213,0.3737086928940698
Binding-IDR,multitask_control,control,0.5422368860968871,0.6407654677445966,0.6702103377044316,0.6053366429308653,0.6398887789813988,0.02891305065170764,42,26,0.08359125186538036,0.02838206975411164,0.1437547905633218,0.02669347806386213,0.3737086928940698
Binding-IDR,multitask_rank,variant,0.5371514895563885,0.6525207061541,0.6843450770933909,0.6321579741029045,0.6515731703546085,0.02891305065170764,42,19,0.02682133117203927,-0.025293349646064455,0.08175604628543619,0.8917716609813433,1.0
Binding-IDR,multitask_control,control,0.5422368860968871,0.6407654677445966,0.6702103377044316,0.6053366429308653,0.6398887789813988,0.02891305065170764,42,19,0.02682133117203927,-0.025293349646064455,0.08175604628543619,0.8917716609813433,1.0
Linker,multitask_motif,variant,0.9019607396914581,0.9019607396914581,0.859330983367346,0.8915542716316194,0.9032260773150963,0.028826401992543098,31,14,0.01377266254093531,-0.005048162698653348,0.036679814251785264,0.5948144253343344,1.0
Linker,multitask_control,control,0.9009149253780595,0.9009149253780594,0.8208966712323901,0.877781609090684,0.9032900294433645,0.028826401992543098,31,14,0.01377266254093531,-0.005048162698653348,0.036679814251785264,0.5948144253343344,1.0
Linker,multitask_wass,variant,0.9266858867713041,0.9266858867713043,0.9013020864171702,0.9079516749121053,0.927439329445825,0.028826401992543098,31,20,0.030170065821420962,0.0034634010838910357,0.06859053089621027,0.12031982094049454,1.0
Linker,multitask_control,control,0.9009149253780595,0.9009149253780594,0.8208966712323901,0.877781609090684,0.9032900294433645,0.028826401992543098,31,20,0.030170065821420962,0.0034634010838910357,0.06859053089621027,0.12031982094049454,1.0
Linker,multitask_rank,variant,0.9228417330925452,0.9228417330925454,0.8760175839560217,0.8902930900707369,0.9242315688013595,0.028826401992543098,31,18,0.012511480980052486,-0.011420352498211018,0.03934191221253152,0.3883800162002444,1.0
Linker,multitask_control,control,0.9009149253780595,0.9009149253780594,0.8208966712323901,0.877781609090684,0.9032900294433645,0.028826401992543098,31,18,0.012511480980052486,-0.011420352498211018,0.03934191221253152,0.3883800162002444,1.0
