benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-PDB,MobiDB-lite,0.1,0.7084,0.6913,0.7370,0.0861,0.7540,0.0456,12
Disorder-PDB,MobiDB-lite,0.05,0.8759,0.8571,0.8986,0.0423,0.8950,0.0191,12
Disorder-PDB,NeProc2-beta-binding,0.2,0.4323,0.4219,0.4782,0.2278,0.4140,-0.0183,12
Disorder-PDB,NeProc2-beta-binding,0.1,0.6209,0.6000,0.6762,0.1025,0.6270,0.0061,12
Disorder-PDB,NeProc2-beta-binding,0.05,0.7875,0.7754,0.8143,0.0442,0.7930,0.0055,12
Disorder-PDB,NeProc2-beta-disorder,0.2,0.4240,0.4150,0.4663,0.2221,0.4020,-0.0220,12
Disorder-PDB,NeProc2-beta-disorder,0.1,0.6180,0.5992,0.6731,0.1011,0.6190,0.0010,12
Disorder-PDB,NeProc2-beta-disorder,0.05,0.7874,0.7719,0.8136,0.0446,0.7780,-0.0094,12
Disorder-PDB,OPAL,0.2,0.6932,0.6660,0.7104,0.1914,0.6660,-0.0272,12
Disorder-PDB,OPAL,0.1,0.8434,0.7978,0.8547,0.0920,0.8290,-0.0144,12
Disorder-PDB,OPAL,0.05,0.9025,0.8783,0.9212,0.0433,0.9280,0.0255,12
Disorder-PDB,PUNCH2-Light,0.2,0.2773,0.2600,0.2864,0.2100,0.2690,-0.0083,12
Disorder-PDB,PUNCH2-Light,0.1,0.3678,0.3442,0.3722,0.1044,0.4300,0.0622,12
Disorder-PDB,PUNCH2-Light,0.05,0.4801,0.4497,0.4907,0.0445,0.6130,0.1329,12
Disorder-PDB,PUNCH2,0.2,0.2753,0.2614,0.2860,0.2101,0.2630,-0.0123,12
Disorder-PDB,PUNCH2,0.1,0.3618,0.3488,0.3712,0.1017,0.4260,0.0642,12
Disorder-PDB,PUNCH2,0.05,0.4732,0.4591,0.4870,0.0453,0.6040,0.1308,12
Disorder-PDB,PredIDR2-Prof-Art,0.2,0.2905,0.2738,0.3009,0.2069,0.2650,-0.0255,12
Disorder-PDB,PredIDR2-Prof-Art,0.1,0.3805,0.3717,0.3859,0.0995,0.4400,0.0595,12
Disorder-PDB,PredIDR2-Prof-Art,0.05,0.4845,0.4673,0.4968,0.0474,0.5940,0.1095,12
Disorder-PDB,PredIDR2-Prof-Rnd,0.2,0.2920,0.2745,0.2992,0.2041,0.2660,-0.0260,12
Disorder-PDB,PredIDR2-Prof-Rnd,0.1,0.4220,0.3910,0.4315,0.0889,0.4430,0.0210,12
Disorder-PDB,PredIDR2-Prof-Rnd,0.05,0.5209,0.4842,0.5359,0.0433,0.6350,0.1141,12
Disorder-PDB,PredIDR2-Seq-Art,0.2,0.3068,0.2867,0.3231,0.2027,0.2670,-0.0398,12
Disorder-PDB,PredIDR2-Seq-Art,0.1,0.3890,0.3748,0.4103,0.1139,0.4400,0.0510,12
Disorder-PDB,PredIDR2-Seq-Art,0.05,0.4838,0.4739,0.4986,0.0504,0.6240,0.1402,12
Disorder-PDB,PredIDR2-Seq-Rnd,0.2,0.3257,0.3008,0.3370,0.2148,0.2740,-0.0517,12
Disorder-PDB,PredIDR2-Seq-Rnd,0.1,0.4185,0.4054,0.4468,0.1117,0.4660,0.0475,12
Disorder-PDB,PredIDR2-Seq-Rnd,0.05,0.5276,0.5064,0.5474,0.0448,0.6440,0.1164,12
Disorder-PDB,ProBiPred-nucleic,0.2,0.7822,0.7748,0.7921,0.1928,0.7910,0.0088,12
Disorder-PDB,ProBiPred-nucleic,0.1,0.8823,0.8781,0.8898,0.0909,0.8970,0.0147,12
Disorder-PDB,ProBiPred-nucleic,0.05,0.9414,0.9331,0.9468,0.0366,0.9440,0.0026,12
Disorder-PDB,ProBiPred-protein,0.2,0.9253,0.9206,0.9305,0.1811,0.9260,0.0007,12
Disorder-PDB,ProBiPred-protein,0.1,0.9632,0.9587,0.9682,0.0831,0.9660,0.0028,12
Disorder-PDB,ProBiPred-protein,0.05,0.9861,0.9829,0.9869,0.0328,0.9820,-0.0041,12
Disorder-PDB,RONN,0.2,0.4279,0.4098,0.4594,0.1994,0.4420,0.0141,12
Disorder-PDB,RONN,0.1,0.6405,0.6253,0.6552,0.0833,0.6370,-0.0035,12
Disorder-PDB,RONN,0.05,0.7875,0.7571,0.8109,0.0430,0.7820,-0.0055,12
Disorder-PDB,SETH-0,0.2,0.2652,0.2607,0.2769,0.2198,0.3040,0.0388,12
Disorder-PDB,SETH-0,0.1,0.4372,0.4077,0.4556,0.0947,0.4990,0.0618,12
Disorder-PDB,SETH-0,0.05,0.6496,0.6101,0.6735,0.0370,0.7040,0.0544,12
Disorder-PDB,SETH-1,0.2,0.2797,0.2612,0.2923,0.2091,0.3170,0.0373,12
Disorder-PDB,SETH-1,0.1,0.4765,0.4537,0.4848,0.0885,0.5190,0.0425,12
Disorder-PDB,SETH-1,0.05,0.6746,0.6481,0.6931,0.0396,0.7060,0.0314,12
Disorder-PDB,SPOT-Disorder-Single,0.2,0.4011,0.3720,0.4363,0.2077,0.3880,-0.0131,12
Disorder-PDB,SPOT-Disorder-Single,0.1,0.5908,0.5510,0.6082,0.0865,0.5930,0.0022,12
Disorder-PDB,SPOT-Disorder-Single,0.05,0.7484,0.7223,0.7636,0.0426,0.7590,0.0106,12
Disorder-PDB,bindEmbed21IDR-idrGeneral,0.2,0.9339,0.9293,0.9364,0.1717,0.9400,0.0061,12
Disorder-PDB,bindEmbed21IDR-idrGeneral,0.1,0.9663,0.9635,0.9672,0.0867,0.9730,0.0067,12
Disorder-PDB,bindEmbed21IDR-idrGeneral,0.05,0.9814,0.9802,0.9853,0.0424,0.9870,0.0056,12
Disorder-PDB,bindEmbed21IDR-idrNuc,0.2,0.8448,0.8348,0.8858,0.2001,0.9180,0.0732,12
Disorder-PDB,bindEmbed21IDR-idrNuc,0.1,0.9318,0.9130,0.9449,0.0981,0.9680,0.0362,12
Disorder-PDB,bindEmbed21IDR-idrNuc,0.05,0.9767,0.9719,0.9800,0.0398,0.9840,0.0073,12
Disorder-PDB,bindEmbed21IDR-rawGeneral,0.2,0.9418,0.9354,0.9437,0.1737,0.9490,0.0072,12
Disorder-PDB,bindEmbed21IDR-rawGeneral,0.1,0.9735,0.9699,0.9747,0.0887,0.9780,0.0045,12
